,Govt ID #,Issuer/Government Name,County,Government Type,Year,variable,value
20,133-202-10,Heritage Park Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
21,108-203-10,Hidalgo County Road District 5,Hidalgo,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
22,111-201-45,Hood County Library District,Hood,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
23,015-002-OT,Housing Authority of Bexar County,Bexar,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
24,091-OT,Housing Authority of the City of Denison,Grayson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
25,220-OT,Housing Authority of the City of Fort Worth,Tarrant,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
26,226-OT,Housing Authority of the City of San Angelo,Tom Green,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
27,015-001-OT,Housing Authority of the City of San Antonio,Bexar,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
28,227-OT,Housing Authority of Travis County,Travis,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
29,133-203-10,Ingram Hills Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
30,118-203-10,Irion County Road District,Irion,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
31,133-206-10,Kerrville South Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
32,247-206-10,Kothman Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
33,133-208-10,Lake Ingram Estates Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,223000.0
34,150-201-10,Llano County Road District 1,Llano,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
35,174-202-10,Nacogdoches County Road District 3,Nacogdoches,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
36,057-001-OT,North Texas Tollway Authority,Dallas,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
37,057-001-OTcp,North Texas Tollway Authority-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
38,246-002-10,Northeast Round Rock Road District 1,Williamson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
39,101-258-05,Northgate Crossing Road UD,Harris,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,3165000.0
40,227-208-10,Northwest Travis County Road District 3,Travis,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,5710000.0
41,247-208-10,Oak Hills Development Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
42,133-204-10,Oakridge Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
43,105-202-10,Pioneer Trail Road District 1,Hays,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
44,247-207-10,President’s Park Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
45,192-203-10,Reagan County Road District,Reagan,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
46,108-000-OT,Rio Grande Valley Pollution Control Authority,Hidalgo,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
47,187-000-OT,Sam Rayburn Municipal Power Agency,Polk +,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
48,170-201-10,South Montgomery County Road District 1,Montgomery,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
49,246-000-10,Southeast Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
50,227-000-10,Southwest Travis County Road District 1,Travis,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
51,246-001-10,Southwest Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,4205000.0
52,133-207-10,Spring Creek Ranch Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
53,105-201-10,Springlake Road District 1,Hays,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
54,217-201-10,Stonewall Road District,Stonewall,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
55,011-201-10,Stony Point Road District,Bastrop,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,290000.0
56,133-205-10,Summerhill/Ball Drive Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
57,021-OT,Texas Municipal Power Agency,Brazos +,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
58,021-OTcp,Texas Municipal Power Agency-Commercial Paper,Brazos +,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
59,170-002-09,Town Center ID,Montgomery,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
60,188-201-10,Valle de Oro Road District,Potter,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
61,237-000-10,Waller County FM,Waller,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
62,188-202-10,Walnut Hills Road District,Potter,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
63,133-201-10,West Creek Road District,Kerr,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
64,152-OT,West Texas Municipal Power Agency,Lubbock,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
65,247-204-10,Wilson County Park Road District,Wilson,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
66,248-203-10,Winkler County Road District,Winkler,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,0.0
67,170-208-05,Woodlands Road UD 1 The,Montgomery,OSD,2003,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,55460000.0
68,221-OT,Abilene-Taylor County Events Venue District,Taylor,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
69,188-OT,Amarillo-Potter Events Venue District,Potter,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
70,246-201-10,Avery Ranch Road District 1,Williamson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,6884311.25
71,015-201-12,Bexar County Road and Flood District,Bexar,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
72,247-205-10,Blackjack Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
73,021-000-OT,Bryan Higher Education Authority,Brazos,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
74,105-203-10,Burnett Ranch Road District,Hays,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
75,247-202-10,CLPP Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
76,048-201-10,Concho County Lateral Road District,Concho,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
77,247-210-10,Country Acres Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
78,057-OT,Dallas Area Rapid Transit,Dallas,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
79,057-OTcp,Dallas Area Rapid Transit-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
80,061-201-05,Denton County Road UD 1,Denton,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,9295368.75
81,066-201-33,Duval County Vocational District,Duval,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
82,170-001-09,East Montgomery County ID,Montgomery,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
83,079-203-10,Fort Bend Parkway Road District,Fort Bend,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,352943.8
84,084-201-12,Galveston County Road and Flood District,Galveston,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
85,246-201-09,Georgetown Village PID 1,Williamson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
86,101-201-33,Harris County Department of Education,Harris,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
87,247-209-10,HELROBQ Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
88,133-202-10,Heritage Park Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
89,108-203-10,Hidalgo County Road District 5,Hidalgo,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
90,111-201-45,Hood County Library District,Hood,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
91,015-002-OT,Housing Authority of Bexar County,Bexar,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
92,091-OT,Housing Authority of the City of Denison,Grayson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
93,220-OT,Housing Authority of the City of Fort Worth,Tarrant,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
94,226-OT,Housing Authority of the City of San Angelo,Tom Green,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
95,015-001-OT,Housing Authority of the City of San Antonio,Bexar,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
96,227-OT,Housing Authority of Travis County,Travis,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
97,133-203-10,Ingram Hills Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
98,118-203-10,Irion County Road District,Irion,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
99,133-206-10,Kerrville South Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
100,247-206-10,Kothman Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
101,133-208-10,Lake Ingram Estates Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,371115.0
102,150-201-10,Llano County Road District 1,Llano,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
103,174-202-10,Nacogdoches County Road District 3,Nacogdoches,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
104,057-001-OT,North Texas Tollway Authority,Dallas,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
105,057-001-OTcp,North Texas Tollway Authority-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
106,246-002-10,Northeast Round Rock Road District 1,Williamson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
107,101-258-05,Northgate Crossing Road UD,Harris,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,3344446.97
108,227-208-10,Northwest Travis County Road District 3,Travis,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,2084771.28
109,247-208-10,Oak Hills Development Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
110,133-204-10,Oakridge Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
111,105-202-10,Pioneer Trail Road District 1,Hays,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
112,247-207-10,President’s Park Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
113,192-203-10,Reagan County Road District,Reagan,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
114,108-000-OT,Rio Grande Valley Pollution Control Authority,Hidalgo,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
115,187-000-OT,Sam Rayburn Municipal Power Agency,Polk +,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
116,170-201-10,South Montgomery County Road District 1,Montgomery,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
117,246-000-10,Southeast Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
118,227-000-10,Southwest Travis County Road District 1,Travis,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
119,246-001-10,Southwest Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,785182.2917
120,133-207-10,Spring Creek Ranch Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
121,105-201-10,Springlake Road District 1,Hays,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
122,217-201-10,Stonewall Road District,Stonewall,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
123,011-201-10,Stony Point Road District,Bastrop,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,168000.0
124,133-205-10,Summerhill/Ball Drive Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
125,021-OT,Texas Municipal Power Agency,Brazos +,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
126,021-OTcp,Texas Municipal Power Agency-Commercial Paper,Brazos +,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
127,170-002-09,Town Center ID,Montgomery,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
128,188-201-10,Valle de Oro Road District,Potter,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
129,237-000-10,Waller County FM,Waller,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
130,188-202-10,Walnut Hills Road District,Potter,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
131,133-201-10,West Creek Road District,Kerr,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
132,152-OT,West Texas Municipal Power Agency,Lubbock,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
133,247-204-10,Wilson County Park Road District,Wilson,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
134,248-203-10,Winkler County Road District,Winkler,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,0.0
135,170-208-05,Woodlands Road UD 1 The,Montgomery,OSD,2003,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,32418795.645
136,221-OT,Abilene-Taylor County Events Venue District,Taylor,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
137,188-OT,Amarillo-Potter Events Venue District,Potter,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
138,246-201-10,Avery Ranch Road District 1,Williamson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,17929311.25
139,015-201-12,Bexar County Road and Flood District,Bexar,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
140,247-205-10,Blackjack Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
141,021-000-OT,Bryan Higher Education Authority,Brazos,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
142,105-203-10,Burnett Ranch Road District,Hays,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
143,247-202-10,CLPP Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
144,048-201-10,Concho County Lateral Road District,Concho,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
145,247-210-10,Country Acres Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
146,057-OT,Dallas Area Rapid Transit,Dallas,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
147,057-OTcp,Dallas Area Rapid Transit-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,135670000.0
148,061-201-05,Denton County Road UD 1,Denton,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,29395368.75
149,066-201-33,Duval County Vocational District,Duval,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
150,170-001-09,East Montgomery County ID,Montgomery,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
151,079-203-10,Fort Bend Parkway Road District,Fort Bend,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,1302943.8
152,084-201-12,Galveston County Road and Flood District,Galveston,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
153,246-201-09,Georgetown Village PID 1,Williamson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
154,101-201-33,Harris County Department of Education,Harris,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
155,247-209-10,HELROBQ Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
156,133-202-10,Heritage Park Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
157,108-203-10,Hidalgo County Road District 5,Hidalgo,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
158,111-201-45,Hood County Library District,Hood,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
159,015-002-OT,Housing Authority of Bexar County,Bexar,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
160,091-OT,Housing Authority of the City of Denison,Grayson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
161,220-OT,Housing Authority of the City of Fort Worth,Tarrant,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
162,226-OT,Housing Authority of the City of San Angelo,Tom Green,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
163,015-001-OT,Housing Authority of the City of San Antonio,Bexar,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
164,227-OT,Housing Authority of Travis County,Travis,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
165,133-203-10,Ingram Hills Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
166,118-203-10,Irion County Road District,Irion,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
167,133-206-10,Kerrville South Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
168,247-206-10,Kothman Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
169,133-208-10,Lake Ingram Estates Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,594115.0
170,150-201-10,Llano County Road District 1,Llano,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
171,174-202-10,Nacogdoches County Road District 3,Nacogdoches,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
172,057-001-OT,North Texas Tollway Authority,Dallas,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
173,057-001-OTcp,North Texas Tollway Authority-Commercial Paper,Dallas,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
174,246-002-10,Northeast Round Rock Road District 1,Williamson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
175,101-258-05,Northgate Crossing Road UD,Harris,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,6509446.97
176,227-208-10,Northwest Travis County Road District 3,Travis,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,7794771.28
177,247-208-10,Oak Hills Development Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
178,133-204-10,Oakridge Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
179,105-202-10,Pioneer Trail Road District 1,Hays,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
180,247-207-10,President’s Park Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
181,192-203-10,Reagan County Road District,Reagan,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
182,108-000-OT,Rio Grande Valley Pollution Control Authority,Hidalgo,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
183,187-000-OT,Sam Rayburn Municipal Power Agency,Polk +,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
184,170-201-10,South Montgomery County Road District 1,Montgomery,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
185,246-000-10,Southeast Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
186,227-000-10,Southwest Travis County Road District 1,Travis,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
187,246-001-10,Southwest Williamson County Road District 1,Williamson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,4990182.2917
188,133-207-10,Spring Creek Ranch Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
189,105-201-10,Springlake Road District 1,Hays,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
190,217-201-10,Stonewall Road District,Stonewall,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
191,011-201-10,Stony Point Road District,Bastrop,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,458000.0
192,133-205-10,Summerhill/Ball Drive Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
193,021-OT,Texas Municipal Power Agency,Brazos +,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
194,021-OTcp,Texas Municipal Power Agency-Commercial Paper,Brazos +,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
195,170-002-09,Town Center ID,Montgomery,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
196,188-201-10,Valle de Oro Road District,Potter,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
197,237-000-10,Waller County FM,Waller,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
198,188-202-10,Walnut Hills Road District,Potter,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
199,133-201-10,West Creek Road District,Kerr,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
200,152-OT,West Texas Municipal Power Agency,Lubbock,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
201,247-204-10,Wilson County Park Road District,Wilson,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
202,248-203-10,Winkler County Road District,Winkler,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,0.0
203,170-208-05,Woodlands Road UD 1 The,Montgomery,OSD,2003,Tax-Supported Debt Service Outstanding as of 8/31/03 ,87878795.645
204,221-OT,Abilene-Taylor County Events Venue District,Taylor,OSD,2003,2002 M&O Tax Rate ,0.0
205,188-OT,Amarillo-Potter Events Venue District,Potter,OSD,2003,2002 M&O Tax Rate ,0.0
206,246-201-10,Avery Ranch Road District 1,Williamson,OSD,2003,2002 M&O Tax Rate ,0.275
207,015-201-12,Bexar County Road and Flood District,Bexar,OSD,2003,2002 M&O Tax Rate ,0.0
208,247-205-10,Blackjack Road District,Wilson,OSD,2003,2002 M&O Tax Rate ,0.0
209,021-000-OT,Bryan Higher Education Authority,Brazos,OSD,2003,2002 M&O Tax Rate ,0.0
210,105-203-10,Burnett Ranch Road District,Hays,OSD,2003,2002 M&O Tax Rate ,0.0
211,247-202-10,CLPP Road District,Wilson,OSD,2003,2002 M&O Tax Rate ,0.0
212,048-201-10,Concho County Lateral Road District,Concho,OSD,2003,2002 M&O Tax Rate ,0.09172
213,247-210-10,Country Acres Road District,Wilson,OSD,2003,2002 M&O Tax Rate ,0.0
214,057-OT,Dallas Area Rapid Transit,Dallas,OSD,2003,2002 M&O Tax Rate ,0.0
215,057-OTcp,Dallas Area Rapid Transit-Commercial Paper,Dallas,OSD,2003,2002 M&O Tax Rate ,0.0
